id_som;lat;lon;nom;equipement;bus;rue;numrue;tourism;artiste;type_art;date_debut;panoramax;tourisme;nom_artiste
255402679;43.491879;-1.4771864;;;;;;;;;;;;
388382241;43.4919958;-1.4771146;;;;;;;;;;;;
388189690;43.492253;-1.4776732;;;;;;;;;;;;
255402735;43.4915597;-1.4765441;;;;;;;;;;;;
1828784585;43.4913974;-1.4766636;;;;;;;;;;;;
364416834;43.496731;-1.4835443;;;;;;;;;;;;
5940751186;43.4965401;-1.483613;;;;;;;;;;;;
7055043849;43.4924783;-1.4774345;;;;;;;;;;;;
388382253;43.4929569;-1.4776772;;;;;;;;;;;;
388189779;43.4931471;-1.478073;;;;;;;;;;;;
388189796;43.4936224;-1.4776021;;;;;;;;;;;;
388189795;43.4934814;-1.477173;;;;;;;;;;;;
1694774183;43.5000883;-1.4801011;;;;;;;;;;;;
254936751;43.499704;-1.4805616;;;;;;;;;;;;
4867744975;43.497152;-1.4772011;;;;;;;;;;;;
570750540;43.4967297;-1.4755783;;;;;;;;;;;;
254920704;43.4910021;-1.4747741;;;;;;;;;;;;
388487692;43.4910089;-1.4745868;;;;;;;;;;;;
1806155778;43.4878927;-1.4744619;;;;;;;;;;;;
254920454;43.4878764;-1.474322;;;;;;;;;;;;
254522028;43.4857667;-1.4733119;;;;;;;;;;;;
254522035;43.4869134;-1.4691594;;;;;;;;;;;;
269247897;43.4909025;-1.4777399;;;;;;;;;;;;
7531505242;43.4912786;-1.4775062;;;;;;;;;;;;
269247914;43.4915569;-1.4785121;;;;;;;;;;;;
269247916;43.4913974;-1.4774691;;;;;;;;;;;;
388189793;43.4933724;-1.4782646;;;;;;;;;;;;
712884540;43.4937431;-1.4779213;;;;;;;;;;;;
388382255;43.4927366;-1.4771991;;;;;;;;;;;;
388382259;43.4929375;-1.4757168;;;;;;;;;;;;
12589755983;43.4931118;-1.4754665;;;;;;;;;;;;
388314411;43.492002;-1.4760566;;;;;;;;;;;;
388314412;43.4923761;-1.4767827;;;;;;;;;;;;
388382272;43.4921132;-1.4759256;;;;;;;;;;;;
388382274;43.4919735;-1.4755826;;;;;;;;;;;;
388382280;43.4913243;-1.4762268;;;;;;;;;;;;
388382282;43.4921282;-1.4750626;;;;;;;;;;;;
