id_arete;parent;lstpoints;highway;nom;surface
494994873-3;494994873;[7181677873, 4867744988];footway;;asphalt
494994873-4;494994873;[4867744988, 5327208946, 4867744978];footway;;asphalt
494994873-5;494994873;[4867744978, 4867744987];footway;;asphalt
494994877-1;494994877;[4867744982, 4867744983, 6943063131, 6943063132, 4867744984, 6943063133, 4867744985, 9609320070];footway;;asphalt
494994877-2;494994877;[9609320070, 6943063134, 4867744986, 6943063135, 9676850896, 4867744995, 9676850895, 4867744994, 4867744993, 4867744992, 6943063136, 5641466790, 4867744991, 4867744979];footway;;asphalt
495037231-1;495037231;[5484528553, 5484528554, 5484528555, 8870131922];pedestrian;Quai Augustin Chaho;paving_stones
495037231-2;495037231;[8870131922, 8870131925];pedestrian;Quai Augustin Chaho;paving_stones
495037231-3;495037231;[8870131925, 4868223485, 4868223488];pedestrian;Quai Augustin Chaho;paving_stones
495037233-1;495037233;[4868223487, 5484528561, 4868223486];footway;;asphalt
495037233-2;495037233;[4868223486, 1806155778];footway;;asphalt
495037233-3;495037233;[1806155778, 848725721];footway;;asphalt
495037234-1;495037234;[1831069520, 1831069501];pedestrian;Esplanade Roland Barthes;gravel
495037234-2;495037234;[1831069501, 7602711550];pedestrian;Esplanade Roland Barthes;gravel
495037234-3;495037234;[7602711550, 4014816145, 11993348656, 11993348648, 11993348649, 11993348664, 11993348665, 4014816143];pedestrian;Esplanade Roland Barthes;gravel
495037234-4;495037234;[4014816143, 1831069520];pedestrian;Esplanade Roland Barthes;gravel
495037237-1;495037237;[3653092001, 8992973051, 255322525];secondary;Boulevard Alsace-Lorraine;asphalt
495037237-2;495037237;[255322525, 1829852857];secondary;Boulevard Alsace-Lorraine;asphalt
495037237-3;495037237;[1829852857, 1829852854];secondary;Boulevard Alsace-Lorraine;asphalt
495050706-1;495050706;[2441501524, 388382323, 10929143695];pedestrian;Place Louis Pasteur;paving_stones
495050706-2;495050706;[10929143695, 269247895];pedestrian;Place Louis Pasteur;paving_stones
495050721-1;495050721;[4868369151, 2441233898, 2441233890];footway;;paved
495050721-2;495050721;[2441233890, 5484526632, 2441233889, 2441233886, 2441233892];footway;;paved
495050721-3;495050721;[2441233892, 2441233896];footway;;paved
500460863-1;500460863;[1806155813, 1806155795];unclassified;Avenue Maréchal de Lautrec;asphalt
500460863-2;500460863;[1806155795, 6278647491];unclassified;Avenue Maréchal de Lautrec;asphalt
500460863-3;500460863;[6278647491, 1806155817, 7593287787, 1806155788, 7593287786, 1806155787, 7593287788, 1806155807, 1806155794, 1806155800, 7593287789, 8792418551];unclassified;Avenue Maréchal de Lautrec;asphalt
512233424-1;512233424;[5008960734, 967747788];pedestrian;Parvis Jean Haritschelhar;sett
512233424-2;512233424;[967747788, 7565795334];pedestrian;Parvis Jean Haritschelhar;sett
512233424-3;512233424;[7565795334, 254920705];pedestrian;Parvis Jean Haritschelhar;sett
512233424-4;512233424;[254920705, 5008960735];pedestrian;Parvis Jean Haritschelhar;sett
512233424-5;512233424;[5008960735, 863080298, 12376528583, 862934883, 5008960734];pedestrian;Parvis Jean Haritschelhar;sett
524887261-1;524887261;[5107190985, 6212831421, 5107190987];service;;
524887261-2;524887261;[5107190987, 11067130201, 5107190983];service;;
524887261-3;524887261;[5107190983, 5107190986];service;;
524887261-4;524887261;[5107190986, 6212831422, 5107190979, 6212831423];service;;
524887261-5;524887261;[6212831423, 5107190978, 5107190977, 5107190976, 6212831424, 5107190975, 6212831425, 5107190974, 5107190973, 3585264905, 6212831426, 3585264904];service;;
524887261-6;524887261;[3585264904, 6212831427, 3585264930, 6212831428, 3585264923, 6212831429];service;;
524887261-7;524887261;[6212831429, 3585264928, 12066137606];service;;
524887261-8;524887261;[12066137606, 570056459];service;;
524887263-1;524887263;[5107190987, 5107190995, 6212831412, 6212831411];service;;
524887263-2;524887263;[6212831411, 12066137609];service;;
524887263-3;524887263;[12066137609, 5107190994];service;;
551634935-1;551634935;[5327208950, 5327208951, 5327208949];footway;;
551634935-2;551634935;[5327208949, 5327208952];footway;;
569072011-1;569072011;[5473754816, 9424014783, 1795591439, 6155663189];unclassified;Avenue Docteur Camille Delvaille;asphalt
569072011-2;569072011;[6155663189, 5473696291];unclassified;Avenue Docteur Camille Delvaille;asphalt
569078912-1;569078912;[476450898, 5473754792, 476450895, 5473754793, 476450893, 5473754796];unclassified;Chemin de Hausses;
569078912-2;569078912;[5473754796, 5473754721, 5473706120, 1795591429];unclassified;Chemin de Hausses;
569938875-1;569938875;[255403503, 5480134552, 5480134551, 5480134550, 5480134549, 5480134548, 5480134547, 5480134546, 5480134545, 5484528583];cycleway;;asphalt
569938875-2;569938875;[5484528583, 5480134544, 5480134543, 5480134541, 5480134542];cycleway;;asphalt
569938875-3;569938875;[5480134542, 255403508];cycleway;;asphalt
570446592-1;570446592;[5484289582, 5484289581, 10117225144];pedestrian;Place de la République;paving_stones
570446592-2;570446592;[10117225144, 7003820166, 7003820165, 6326876328, 7003820164, 12685035983, 12685035973];pedestrian;Place de la République;paving_stones
570446592-3;570446592;[12685035973, 12685035978, 12685035977, 12685035982, 6707433889];pedestrian;Place de la République;paving_stones
570446592-4;570446592;[6707433889, 1829846427];pedestrian;Place de la République;paving_stones
570446592-5;570446592;[1829846427, 254934853];pedestrian;Place de la République;paving_stones
570446592-6;570446592;[254934853, 12685035980, 5484289582];pedestrian;Place de la République;paving_stones
570446596-1;570446596;[5484289607, 5484289586];service;;
570446596-2;570446596;[5484289586, 5484289606];service;;
570468052-1;570468052;[255400851, 5484526629, 5484526630, 6231013327, 1887243147];tertiary;Rue Tour de Sault;asphalt
570468052-2;570468052;[1887243147, 6231013326, 255400676];tertiary;Rue Tour de Sault;asphalt
570468053-1;570468053;[848725722, 388324410];footway;;
570468053-2;570468053;[388324410, 5484526644];footway;;
570468053-3;570468053;[5484526644, 5484526645];footway;;
570468053-4;570468053;[5484526645, 1887243107];footway;;
570468054-1;570468054;[12607211506, 1797158297];footway;;
570468054-2;570468054;[1797158297, 1797158296];footway;;
570468054-3;570468054;[1797158296, 3513549744];footway;;
570468057-1;570468057;[5484526719, 3642811721, 5484526718, 5484526717, 5484526716, 5484526715, 3642811720];footway;;paving_stones
570468057-2;570468057;[3642811720, 5484526714, 5484526713, 5484526712, 5484526711, 5484526710, 3642811719, 5484526709];footway;;paving_stones
570468071-1;570468071;[848725713, 5484528591];footway;;
570468071-2;570468071;[5484528591, 1797205762];footway;;
570468071-3;570468071;[1797205762, 8870063017, 5484528590];footway;;
570468071-4;570468071;[5484528590, 5484528587];footway;;
570468071-5;570468071;[5484528587, 5484528589, 5484528588, 5484528585];footway;;
570468071-6;570468071;[5484528585, 5484528584, 5484528583];footway;;
570468079-1;570468079;[255403535, 5484528705, 3150381448, 8869999329, 5484528704];footway;;
570468079-2;570468079;[5484528704, 5484528703];footway;;
570468085-1;570468085;[5484528722, 5484528726, 5484528725, 5484528724, 5484528736, 5484528734, 5484528723, 5484528733, 5484528732, 5484528735, 717794872];residential;Giratoire de Glain;asphalt
570468085-2;570468085;[717794872, 5484528731, 5484528730, 5484528729, 5484528728, 5484528721];residential;Giratoire de Glain;asphalt
570750999-1;570750999;[4014853240, 5487050105, 1796035921];footway;;asphalt
570750999-2;570750999;[1796035921, 5487050104, 5487050103, 1887243220];footway;;asphalt
570750999-3;570750999;[1887243220, 5487050102, 1796035922];footway;;asphalt
570922161-1;570922161;[5488242202, 5488242209];steps;;
570922161-2;570922161;[5488242209, 5488242203];steps;;
570922166-1;570922166;[4515293354, 5498725875];footway;;
570922166-2;570922166;[5498725875, 6230998732, 6230998731, 4515293355, 4515293356];footway;;
571788837-1;571788837;[5484526628, 12607211534];footway;Passage de la Pusterle;paving_stones
571788837-2;571788837;[12607211534, 255400854];footway;Passage de la Pusterle;paving_stones
