id_points;lat;lon;nom;equipement;bus;rue;numrue;tourism;artiste;type_art;date_debut;panoramax;tourisme;nom_artiste
254522036;43.4868298;-1.4690008;;;;;;;;;;;;
254522037;43.4868651;-1.4687995;;;;;;;;;;;;
254522038;43.4867145;-1.4680963;;;;;;;;;;;;
254522040;43.4862576;-1.4665829;;;;;;;;;;;;
254522041;43.4862094;-1.466137;;;;;;;;;;;;
254522042;43.4862308;-1.465331;;;;;;;;;;;;
254522043;43.4864133;-1.4643158;;;;;;;;;;;;
254522044;43.4869343;-1.4629718;;;;;;;;;;;;
254522266;43.4979217;-1.4658901;;;;;;;;;;;;
254522288;43.4975979;-1.4690084;;;;;;;;;;;;
254522289;43.4978838;-1.4680963;;;;;;;;;;;;
254522453;43.496757;-1.4728041;;;;;;;;;;;;
254642891;43.4871115;-1.4754379;;;;;;;;;;;;
254642892;43.4870971;-1.4753112;;;;;;;;;;;;
254642893;43.4867207;-1.4753501;;;;;;;;;;;;
254642983;43.4870417;-1.4746391;;;;;;;;;;;;
254642984;43.4874143;-1.4746504;;;;;;;;;;;;
254642986;43.4877396;-1.4745301;;;;;;;;;;;;
254647702;43.4864476;-1.4686097;;;;;;;;;;;;
254647756;43.4863632;-1.4688233;;;;;;;;;;;;
254648214;43.4867596;-1.4682673;;;;;;;;;;;;
254920454;43.4878764;-1.474322;;;;;;;;;;;;
254920559;43.4897063;-1.474934;;;;;;;;;;;;
254920704;43.4910021;-1.4747741;;;;;;;;;;;;
254920705;43.4909897;-1.4739744;;;;;;;;;;;;
254932621;43.490666;-1.4602936;;;;;;;;;;;;
254932622;43.4908165;-1.460098;;;;;;;;;;;;
254933013;43.4934063;-1.4653971;;;;;;;;;;;;
254933117;43.4923737;-1.4630351;;;;;;;;;;;;
254933119;43.4943644;-1.465734;;;;;;;;;;;;
254933309;43.4928295;-1.4624101;;;;;;;;;;;;
254933310;43.4948002;-1.4651972;;;;;;;;;;;;
254933412;43.4936935;-1.4617221;;;;;;;;;;;;
254933800;43.4953313;-1.4644908;;;;;;;;;;;;
254934188;43.4936163;-1.4667835;;;;;;;;;;;;
254934189;43.4940072;-1.4662772;;;;;;;;;;;;
254934853;43.4958868;-1.4694797;;;;;;;;;;;;
254934854;43.4952125;-1.4684848;;;;;;;;;;;;
254934855;43.495109;-1.4682788;;;;;;;;;;;;
254934856;43.4950341;-1.4680146;;;;;;;;;;;;
254934857;43.4949966;-1.4674218;;;;;;;;;;;;
254935066;43.4968767;-1.4637639;;;;;;;;;;;;
254935068;43.4959477;-1.4655168;;;;;;;;;;;;
254935071;43.4952476;-1.4667284;;;;;;;;;;;;
254935072;43.4951394;-1.4670232;;;;;;;;;;;;
254935706;43.495683;-1.4717465;;;;;;;;;;;;
254935709;43.4970907;-1.4769691;;;;;;;;;;;;
254935711;43.4976808;-1.4789526;;;;;;;;;;;;
254935712;43.4982338;-1.4800396;;;;;;;;;;;;
254936105;43.4992821;-1.4817983;;;;;;;;;;;;
254936106;43.4991596;-1.4818933;;;;;;;;;;;;
254936108;43.4989633;-1.4818071;;;;;;;;;;;;
254936110;43.4989256;-1.4814615;;;;;;;;;;;;
254936111;43.4990755;-1.4813043;;;;;;;;;;;;
254936112;43.4991473;-1.4813007;;;;;;;;;;;;
254936113;43.4993116;-1.4814574;;;;;;;;;;;;
254936114;43.4993376;-1.4816045;;;;;;;;;;;;
254936746;43.500963;-1.4792872;;;;;;;;;;;;
254936749;43.4999937;-1.4801998;;;;;;;;;;;;
254936750;43.4998195;-1.4804077;;;;;;;;;;;;
254936751;43.499704;-1.4805616;;;;;;;;;;;;
254936803;43.4987435;-1.481882;;;;;;;;;;;;
254936804;43.497244;-1.4830069;;;;;;;;;;;;
254937006;43.4968746;-1.4829694;;;;;;;;;;;;
254937007;43.4969752;-1.4830087;;;;;;;;;;;;
254937008;43.4970905;-1.4832328;;;;;;;;;;;;
254937089;43.4970494;-1.4834739;;;;;;;;;;;;
254937095;43.4961065;-1.4838474;;;;;;;;;;;;
254937097;43.4959929;-1.4842823;;;;;;;;;;;;
254937308;43.4989022;-1.4816201;;;;;;;;;;;;
254950704;43.4859997;-1.461077;;;;;;;;;;;;
254950705;43.486225;-1.4613768;;;;;;;;;;;;
254950710;43.486585;-1.4621466;;;;;;;;;;;;
254950711;43.4873765;-1.4632081;;;;;;;;;;;;
254950957;43.4884765;-1.4653488;;;;;;;;;;;;
254951178;43.4893434;-1.466646;;;;;;;;;;;;
254951179;43.4903761;-1.4675332;;;;;;;;;;;;
254951181;43.490998;-1.4683076;;;;;;;;;;;;
254951182;43.4910456;-1.4684122;;;;;;;;;;;;
254951183;43.4918454;-1.4700255;;;;;;;;;;;;
254951184;43.4925133;-1.4713338;;;;;;;;;;;;
254951185;43.492814;-1.472072;;;;;;;;;;;;
254951186;43.4930216;-1.4726043;;;;;;;;;;;;
254951187;43.4932881;-1.4729019;;;;;;;;;;;;
254951317;43.4926267;-1.4664589;;;;;;;;;;;;
254951318;43.4947802;-1.4635608;;;;;;;;;;;;
255321715;43.4944556;-1.4788945;;;;;;;;;;;;
255321717;43.4945593;-1.4777685;;;;;;;;;;;;
255321728;43.4921796;-1.4743821;;;;;;;;;;;;
255321840;43.4932858;-1.4672106;;;;;;;;;;;;
255321928;43.4935556;-1.4634542;;;;;;;;;;;;
255321930;43.4927697;-1.4645136;;;;;;;;;;;;
255321931;43.4923765;-1.465041;;;;;;;;;;;;
255322334;43.4933656;-1.4614881;;;;;;;;;;;;
255322335;43.4920244;-1.4634763;;;;;;;;;;;;
255322428;43.4942868;-1.4677088;;;;;;;;;;;;
255322525;43.4946547;-1.4685094;;;;;;;;;;;;
255322529;43.4948244;-1.4673943;;;;;;;;;;;;
255322838;43.4948266;-1.4702193;;;;;;;;;;;;
255400613;43.4897346;-1.4717234;;;;;;;;;;;;
255400671;43.4904989;-1.4764605;;;;;;;;;;;;
255400676;43.4883349;-1.4781044;;;;;;;;;;;;
255400851;43.4882868;-1.4776289;;;;;;;;;;;;
255400852;43.4883403;-1.4772427;;;;;;;;;;;;
255400853;43.4884298;-1.4766102;;;;;;;;;;;;
255400854;43.4884227;-1.4760437;;;;;;;;;;;;
255401133;43.488261;-1.4756679;;;;;;;;;;;;
255401810;43.4896898;-1.4757584;;;;;;;;;;;;
255402215;43.4910207;-1.4758721;;;;;;;;;;;;
255402256;43.4941556;-1.4770952;;;;;;;;;;;;
255402679;43.491879;-1.4771864;;;;;;;;;;;;
255402680;43.4931892;-1.4759449;;;;;;;;;;;;
255402681;43.4933622;-1.4757168;;;;;;;;;;;;
255402703;43.492545;-1.4753941;;;;;;;;;;;;
255402704;43.492846;-1.4750013;;;;;;;;;;;;
255402735;43.4915597;-1.4765441;;;;;;;;;;;;
255402743;43.4933177;-1.4800267;;;;;;;;;;;;
255402861;43.4909459;-1.4681755;;;;;;;;;;;;
255402862;43.4898416;-1.4680951;;;;;;;;;;;;
255402863;43.4896485;-1.4681815;;;;;;;;;;;;
255402866;43.4874743;-1.4672488;;;;;;;;;;;;
255402931;43.4872885;-1.4670597;;;;;;;;;;;;
255402932;43.4863971;-1.4664951;;;;;;;;;;;;
255403449;43.4874172;-1.4669948;;;;;;;;;;;;
255403450;43.4875174;-1.4667902;;;;;;;;;;;;
255403497;43.4873065;-1.4675552;;;;;;;;;;;;
255403498;43.487244;-1.4686133;;;;;;;;;;;;
255403499;43.4872204;-1.4690821;;;;;;;;;;;;
255403500;43.487016;-1.4698123;;;;;;;;;;;;
255403501;43.4868954;-1.4701382;;;;;;;;;;;;
255403502;43.4863174;-1.4713475;;;;;;;;;;;;
255403503;43.4861651;-1.471714;;;;;;;;;;;;
255403504;43.4861501;-1.4717754;;;;;;;;;;;;
255403506;43.4859844;-1.4727953;;;;;;;;;;;;
255403507;43.486015;-1.4731867;;;;;;;;;;;;
255403508;43.4861111;-1.4734373;;;;;;;;;;;;
255403509;43.4862156;-1.4736643;;;;;;;;;;;;
255403510;43.486549;-1.4739503;;;;;;;;;;;;
255403511;43.4870637;-1.4743231;;;;;;;;;;;;
255403531;43.4870977;-1.4744351;;;;;;;;;;;;
255403533;43.4860755;-1.4738099;;;;;;;;;;;;
255403540;43.4865438;-1.4705788;;;;;;;;;;;;
257607801;43.4909007;-1.472986;;;;;;;;;;;;
257607977;43.490656;-1.4715238;;;;;;;;;;;;
269247892;43.4908734;-1.4770455;;;;;;;;;;;;
269247895;43.4907334;-1.4771418;;;;;;;;;;;;
269247897;43.4909025;-1.4777399;;;;;;;;;;;;
269247910;43.4906049;-1.4786147;;;;;;;;;;;;
269247912;43.4907017;-1.4789345;;;;;;;;;;;;
269247914;43.4915569;-1.4785121;;;;;;;;;;;;
269247916;43.4913974;-1.4774691;;;;;;;;;;;;
269247962;43.4926339;-1.4734451;;;;;;;;;;;;
269248034;43.4923358;-1.4723034;;;;;;;;;;;;
269248035;43.4912913;-1.4727319;;;;;;;;;;;;
269248037;43.4908321;-1.4715436;;;;;;;;;;;;
269248038;43.4899228;-1.4714062;;;;;;;;;;;;
269248041;43.4907854;-1.4698546;;;;;;;;;;;;
269248042;43.4912396;-1.4695563;;;;;;;;;;;;
269248043;43.4915;-1.469353;;;;;;;;;;;;
270960148;43.4956154;-1.466068;;;;;;;;;;;;
270960150;43.4949023;-1.4650682;;;;;;;;;;;;
270961031;43.4891507;-1.4621966;;;;;;;;;;;;
270961033;43.4882393;-1.4611445;;;;;;;;;;;;
270961035;43.4876712;-1.4601295;;;;;;;;;;;;
270961036;43.4874832;-1.459702;;;;;;;;;;;;
270961061;43.490469;-1.4617605;;;;;;;;;;;;
270961189;43.4882284;-1.4598491;;;;;;;;;;;;
364414737;43.4918761;-1.4748091;;;;;;;;;;;;
364415029;43.4898124;-1.47689;;;;;;;;;;;;
364415040;43.4896936;-1.4755435;;;;;;;;;;;;
364415531;43.4933212;-1.4728913;;;;;;;;;;;;
364415670;43.4952294;-1.4698452;;;;;;;;;;;;
364415681;43.4952433;-1.470589;;;;;;;;;;;;
364415835;43.4941935;-1.4625864;;;;;;;;;;;;
364416032;43.4930113;-1.4659401;;;;;;;;;;;;
364416057;43.4937609;-1.4649254;;;;;;;;;;;;
364416075;43.4941971;-1.4643438;;;;;;;;;;;;
364416834;43.496731;-1.4835443;;;;;;;;;;;;
387616223;43.4970985;-1.4703435;Bayonne;;;;;;;;;;;
388188925;43.4912754;-1.4791395;;;;;;;;;;;;
388188930;43.4903196;-1.4796418;;;;;;;;;;;;
388188931;43.4893043;-1.4800532;;;;;;;;;;;;
388188933;43.4892656;-1.4802894;;;;;;;;;;;;
388188934;43.4887217;-1.4810991;;;;;;;;;;;;
388188936;43.488531;-1.4805445;;;;;;;;;;;;
388189177;43.4879321;-1.4756026;;;;;;;;;;;;
388189178;43.4874848;-1.4757147;;;;;;;;;;;;
388189179;43.487513;-1.4760247;;;;;;;;;;;;
388189180;43.4881448;-1.4762339;;;;;;;;;;;;
388189181;43.4881569;-1.477926;;;;;;;;;;;;
388189182;43.4879258;-1.4780541;;;;;;;;;;;;
388189183;43.4878139;-1.4784469;;;;;;;;;;;;
388189202;43.4885039;-1.478535;;;;;;;;;;;;
388189204;43.4891094;-1.479308;;;;;;;;;;;;
388189207;43.4890472;-1.4794535;;;;;;;;;;;;
388189210;43.4892987;-1.4798129;;;;;;;;;;;;
388189213;43.4894809;-1.4795416;;;;;;;;;;;;
388189216;43.4895059;-1.4794163;;;;;;;;;;;;
388189219;43.4905873;-1.4791267;;;;;;;;;;;;
388189222;43.4906137;-1.4792346;;;;;;;;;;;;
388189225;43.490689;-1.4792885;;;;;;;;;;;;
388189226;43.4908188;-1.479187;;;;;;;;;;;;
388189227;43.4908456;-1.4790928;;;;;;;;;;;;
388189228;43.4908263;-1.4789945;;;;;;;;;;;;
388189232;43.4873758;-1.4742047;;;;;;;;;;;;
388189233;43.4870207;-1.4742419;;;;;;;;;;;;
388189234;43.4861705;-1.4733991;;;;;;;;;;;;
388189235;43.4869036;-1.4725291;;;;;;;;;;;;
388189248;43.487797;-1.4706653;;;;;;;;;;;;
388189249;43.4896046;-1.4695792;;;;;;;;;;;;
388189250;43.4895703;-1.4693818;;;;;;;;;;;;
388189251;43.4896241;-1.4691455;;;;;;;;;;;;
388189252;43.4896785;-1.469056;;;;;;;;;;;;
388189253;43.489738;-1.4689869;;;;;;;;;;;;
388189254;43.4898903;-1.4689386;;;;;;;;;;;;
388189255;43.4900231;-1.4689828;;;;;;;;;;;;
388189256;43.4901675;-1.4693892;;;;;;;;;;;;
388189257;43.4907696;-1.4688912;;;;;;;;;;;;
388189258;43.4907187;-1.4688376;;;;;;;;;;;;
388189259;43.4908082;-1.4687026;;;;;;;;;;;;
388189260;43.490922;-1.4687139;;;;;;;;;;;;
388189690;43.492253;-1.4776732;;;;;;;;;;;;
388189693;43.493498;-1.4764052;;;;;;;;;;;;
388189695;43.4937024;-1.4761757;;;;;;;;;;;;
388189757;43.4924774;-1.4781564;;;;;;;;;;;;
388189759;43.4937859;-1.4768592;;;;;;;;;;;;
388189760;43.4940197;-1.4766067;;;;;;;;;;;;
388189778;43.4926549;-1.4785666;;;;;;;;;;;;
388189779;43.4931471;-1.478073;;;;;;;;;;;;
388189781;43.4942573;-1.4769604;;;;;;;;;;;;
388189793;43.4933724;-1.4782646;;;;;;;;;;;;
388189794;43.4943961;-1.4772531;;;;;;;;;;;;
388189795;43.4934814;-1.477173;;;;;;;;;;;;
388189796;43.4936224;-1.4776021;;;;;;;;;;;;
388189861;43.5001645;-1.4732102;;;;;;;;;;;;
388189862;43.5005686;-1.4722734;;;;;;;;;;;;
388189863;43.4995757;-1.4719294;;;;;;;;;;;;
388189941;43.49941;-1.4722095;;;;;;;;;;;;
388189952;43.4979121;-1.4730555;;;;;;;;;;;;
388189953;43.497954;-1.4732087;;;;;;;;;;;;
388189954;43.4980311;-1.4732715;;;;;;;;;;;;
388189956;43.4980852;-1.4734937;;;;;;;;;;;;
388189957;43.4982074;-1.4739154;;;;;;;;;;;;
388189960;43.498189;-1.4740335;;;;;;;;;;;;
388189963;43.4982392;-1.4741931;;;;;;;;;;;;
388189966;43.4981656;-1.4742691;;;;;;;;;;;;
388189968;43.4981155;-1.4742206;;;;;;;;;;;;
388189976;43.4980352;-1.4742994;;;;;;;;;;;;
388189977;43.4981326;-1.475163;;;;;;;;;;;;
388189978;43.4986646;-1.4746511;;;;;;;;;;;;
388189979;43.4986567;-1.4745693;;;;;;;;;;;;
388189981;43.4986403;-1.4745632;;;;;;;;;;;;
388189983;43.4985725;-1.4743819;;;;;;;;;;;;
